,2018,2019,2020,2021
2018,502760909.27990705,504656683.19512194,500686615.2404181,449139128.5075493
2019,504656683.19512194,506842086.82926834,503073474.0731707,451122169.36585367
2020,500686615.2404181,503073474.0731707,499601494.28397214,448299158.6550522
2021,449139128.5075493,451122169.36585367,448299158.6550522,407003073.0847852
